	1	164	189	154	142
	2	109	347	291	135
	3	107	429	300	142
	4	147	454	362	331
	5	119	783	1776	409
	6	112	1080	2332	346
	7	101	1508	1011	771
	8	127	1373	3693	411
	9	116	1281	5220	775
	10	92	1514	3999	673
	11	173	1729	6125	870
	12	86	1809	5516	940
	13	135	1891	3269	1029
	14	85	2310	7765	1478
	15	112	2040	290	1354
	16	201	2414	10933	908
	17	116	1824	13198	1217
	18	78	2229	12451	1224
	19	88	2552	22940	1494
	20	87	2371	11004	1306
	21	94	2466	9589	1403
	22	97	2532	11131	1390
	23	108	2576	9581	1260
	24	113	2574	10914	1384
	25	82	2528	15558	1402
